"Title","OriginalTitle","Type","SR_HR_Audio","AudioCategory","BCS_Audio_Languages","SR_HR_Subtitles","Genres","WatchURL"
"Tereza 37","","movie","yes","native","Croatian - Original","no","drama","https://play.hbomax.com/movie/67a928c8-6bac-491e-a165-08e89b60d89a"
"The Avalanche","","movie","yes","native","Croatian - Original","yes","comedy, european","https://play.hbomax.com/movie/d32dcfc1-dcb2-40e9-8cfb-a362e5c22b75"
"The Blue Lions","","movie","yes","native","Serbian (Cyrillic)","yes","documentary, sports","https://play.hbomax.com/movie/76388fef-e510-4252-b8dd-0ef7b2b96d37"
"The Diary of Diana B","","movie","yes","native","Croatian - Original","yes","drama, european","https://play.hbomax.com/movie/505dcbba-9542-4aa7-97cb-1998b7d112be"
"The Eighth Commissioner","","movie","yes","native","Croatian - Original","yes","drama, comedy, european","https://play.hbomax.com/movie/db05ed84-f413-4929-879a-5dca873a9654"
"The Last Serb in Croatia","","movie","yes","native","Croatian - Original","yes","horror, comedy","https://play.hbomax.com/movie/593ab976-70a0-4c9e-9f88-8791c2bc3db6"
"The Man Who Could Not Remain Silent","","movie","yes","native","Croatian - Original","yes","drama, european","https://play.hbomax.com/movie/2e6292ba-6958-49c6-ace9-b15c4e3bb366"
"The Mysterious Boy","","movie","yes","native","Croatian - Original","no","family","https://play.hbomax.com/movie/34e52f3d-0d06-4448-b7c8-45ab247a0729"
"The Mystery of Green Hill","","movie","yes","native","Croatian - Original","no","family, european","https://play.hbomax.com/movie/3a5de5d4-3d23-41e7-8c4b-5128673137fd"
"The Reaper","","movie","yes","native","Croatian - Original","no","drama, european","https://play.hbomax.com/movie/3352ff85-7231-4a2d-aebe-807932b56ad1"
"The Silence","","series","yes","native","Croatian - Original","yes","crime, drama, european","https://play.hbomax.com/show/c915d1e3-ae86-4678-bcc4-85c842d5cb1c"
"The Sky Above Zenica","","movie","yes","native","Bosnian - Original","yes","documentary, european","https://play.hbomax.com/movie/49f4ba7b-98bc-4a9d-8076-b4c1181913c6"
"The Uncle","","movie","yes","native","Croatian - Original","yes","drama, european","https://play.hbomax.com/movie/ee2187b2-8962-4e98-af7b-d3800d53d5c9"
"The Woman with the Rubber Gloves","","movie","yes","native","Croatian - Original","yes","drama","https://play.hbomax.com/movie/af555e14-55ed-44a3-8053-70f1a1a8b577"
"Vis-à-vis","","movie","yes","native","Croatian - Original","yes","drama, european","https://play.hbomax.com/movie/21f56146-972f-4c44-b445-e3fad5edb57d"
"Walking with the Lion","","series","yes","native","Serbian (Cyrillic)","no","european, drama","https://play.hbomax.com/show/6a73f898-5304-425f-a358-da1dc45a2a1c"
"A Minecraft Movie","","movie","yes","dub","Croatian; Serbian (Cyrillic)","yes","family, comedy","https://play.hbomax.com/movie/05eee581-3112-4515-b17f-219ff6265ef8"
"A Minecraft Movie (Block Party Edition)","","movie","yes","dub","Croatian","no","family, comedy","https://play.hbomax.com/movie/1d5a78ef-34bd-4c10-bf0a-4ac7f7cb8886"
"A Minecraft Movie (with ASL)","","movie","yes","dub","Croatian; Serbian (Cyrillic)","yes","family, comedy","https://play.hbomax.com/movie/931163ce-bfbc-4bc5-b487-eea2ecf9ccd4"
"Adventure Time: Distant Lands","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/9141a8ca-0a07-4278-9488-1f7776597ed6"
"Alice & Lewis","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/df5e8c83-7fed-49cd-a60d-7a5402cbd823"
"Apple & Onion","","series","yes","dub","Croatian","no","comedy, kids-family","https://play.hbomax.com/show/0f94cb04-37b9-430e-98c4-6853e9624fac"
"Baby Lemmings","","series","yes","dub","Croatian","no","european, kids-family","https://play.hbomax.com/show/f9eda310-4209-4e89-9927-206c17e1c616"
"Barney's World","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/985727d3-1de3-47e9-b066-471ce9a21715"
"Batwheels","","series","yes","dub","Croatian","no","kids-family","https://play.hbomax.com/show/452d85bb-bb46-4f16-bc58-26e5391d200d"
"Ben 10","","series","yes","dub","Croatian","no","kids-family, action","https://play.hbomax.com/show/dbc70117-eb41-4d3f-8fd0-adcff8cb9481"
"Ben 10 Vs. The Universe: The Movie","","movie","yes","dub","Croatian","no","family","https://play.hbomax.com/movie/2888fb8d-9bec-4804-a01a-50fbdfe83029"
"Ben 10: Alien X-Tinction","","movie","yes","dub","Croatian","no","family","https://play.hbomax.com/movie/3752d13b-7d67-4882-832d-ac572d4ba742"
"Ben 10: Ben 10,010","","movie","yes","dub","Croatian","no","family","https://play.hbomax.com/movie/e7e33903-1d40-46d3-91e6-a01df111d553"
